,Math,Science,Literature,History,Art,Computer Science,Economics,Technology,Healthcare,Business,Arts,Education,Engineering,Analytical,Creative,Social
S370,75.0,60.0,71.0,78.0,68.0,66.0,89.0,3.0,2.0,5.0,1.0,2.0,1.0,0.5431929744096614,0.5119108210485769,0.09032855552362551
S371,74.0,63.0,65.0,97.0,94.0,61.0,64.0,3.0,2.0,5.0,3.0,5.0,1.0,0.4050010327146273,0.20433142332715748,0.5337359742897543
S372,67.0,89.0,78.0,89.0,90.0,75.0,97.0,5.0,2.0,1.0,2.0,1.0,2.0,0.7580762522812572,0.5794862993055433,0.22182185146685252
S373,81.0,92.0,81.0,67.0,96.0,71.0,64.0,3.0,2.0,3.0,4.0,5.0,1.0,0.20775688559751826,0.03699813041571143,0.42638088215309056
S374,84.0,88.0,72.0,85.0,81.0,88.0,71.0,5.0,3.0,3.0,3.0,2.0,5.0,0.43286153616243117,0.23643634533602342,0.7642584676822604
S375,87.0,68.0,69.0,85.0,95.0,99.0,70.0,3.0,4.0,3.0,5.0,3.0,3.0,0.38648669660344503,0.669401398075399,0.6400703322237786
S376,65.0,63.0,86.0,83.0,64.0,62.0,66.0,1.0,3.0,5.0,1.0,1.0,3.0,0.6047404563953748,0.9080661604839734,0.015890115788719128
S377,83.0,81.0,71.0,94.0,76.0,62.0,70.0,3.0,4.0,5.0,5.0,2.0,2.0,0.06803731084344367,0.7221406503499873,0.35352591897914376
S378,65.0,95.0,76.0,81.0,60.0,62.0,75.0,5.0,3.0,1.0,4.0,3.0,1.0,0.9865223953225423,0.21641272253256216,0.18341903809175375
S379,94.0,73.0,66.0,85.0,90.0,83.0,78.0,5.0,3.0,4.0,2.0,1.0,3.0,0.5882218245941179,0.2794252788886711,0.34049298506902126
S380,96.0,60.0,84.0,69.0,77.0,60.0,88.0,4.0,3.0,5.0,1.0,5.0,5.0,0.9210243239828434,0.026242668647726508,0.5312594199172156
S381,72.0,63.0,71.0,78.0,85.0,97.0,75.0,2.0,5.0,4.0,1.0,2.0,3.0,0.334899428019535,0.3459919759532891,0.2478088098883161
S382,84.0,69.0,96.0,87.0,87.0,84.0,84.0,5.0,3.0,2.0,3.0,4.0,2.0,0.13485008677816557,0.034481661725059065,0.987695506239954
S383,71.0,67.0,95.0,98.0,83.0,82.0,96.0,1.0,1.0,1.0,1.0,2.0,2.0,0.6603660251134209,0.7772053066603625,0.06500229929993961
S384,70.0,76.0,87.0,62.0,61.0,88.0,93.0,2.0,5.0,2.0,2.0,2.0,1.0,0.014837413504777075,0.6002886873194444,0.7238313892335184
S385,73.0,92.0,77.0,88.0,61.0,70.0,90.0,4.0,1.0,4.0,4.0,4.0,1.0,0.394866266225365,0.3877551086839276,0.3844795213275576
S386,72.0,85.0,93.0,69.0,71.0,81.0,90.0,5.0,3.0,5.0,1.0,4.0,3.0,0.15275584796102093,0.7539135112007355,0.2151927323403886
S387,78.0,83.0,84.0,94.0,67.0,64.0,81.0,5.0,2.0,5.0,1.0,3.0,2.0,0.3244104959762911,0.6712597375655835,0.0001047107981435591
S388,87.0,71.0,92.0,75.0,85.0,71.0,82.0,3.0,3.0,5.0,4.0,5.0,2.0,0.7662571859599794,0.899094748266758,0.05161737526326793
S389,85.0,72.0,82.0,90.0,95.0,86.0,95.0,1.0,5.0,4.0,4.0,5.0,2.0,0.5916238064602847,0.4084589698143404,0.07846339139347225
S390,82.0,97.0,62.0,89.0,91.0,74.0,97.0,4.0,4.0,2.0,2.0,2.0,2.0,0.6822309873202942,0.6123186226673364,0.6426603272164181
S391,70.0,61.0,85.0,93.0,60.0,70.0,64.0,5.0,5.0,3.0,3.0,3.0,4.0,0.8134953650370442,0.28691897560982826,0.6770680714343819
S392,85.0,65.0,94.0,64.0,68.0,87.0,78.0,2.0,5.0,5.0,2.0,3.0,4.0,0.7433176945832772,0.16881496459993894,0.9570668750624416
S393,64.0,82.0,75.0,66.0,73.0,81.0,68.0,5.0,1.0,4.0,4.0,3.0,2.0,0.33998104468813284,0.7137082264816779,0.7540201262858824
S394,82.0,63.0,85.0,65.0,90.0,76.0,68.0,1.0,3.0,2.0,1.0,5.0,1.0,0.5040309193063757,0.12871730613084997,0.27566293241757667
S395,86.0,65.0,65.0,63.0,62.0,83.0,77.0,3.0,1.0,1.0,1.0,5.0,2.0,0.23424695232872617,0.5186423299175882,0.261268870997007
S396,91.0,80.0,88.0,91.0,84.0,71.0,68.0,1.0,4.0,3.0,4.0,2.0,3.0,0.5467704769577979,0.288206754387033,0.000979133676900057
S397,66.0,73.0,79.0,79.0,69.0,70.0,98.0,2.0,3.0,4.0,4.0,5.0,2.0,0.3632567337826115,0.6068508531891527,0.7736967765373128
S398,78.0,78.0,65.0,67.0,60.0,82.0,99.0,4.0,3.0,1.0,1.0,1.0,5.0,0.028364460979974915,0.2583130006765927,0.9854621200476676
S399,96.0,69.0,61.0,95.0,61.0,74.0,79.0,4.0,2.0,2.0,5.0,3.0,4.0,0.26181538853055,0.7771976565384348,0.5093736184075444
S400,80.0,89.0,83.0,61.0,97.0,81.0,88.0,4.0,3.0,3.0,4.0,4.0,1.0,0.12217398405535362,0.6434001289950534,0.96634085225437
S401,73.0,64.0,83.0,85.0,61.0,93.0,82.0,2.0,1.0,1.0,2.0,5.0,5.0,0.8868290327489984,0.6902927878387065,0.5121482669437062
S402,94.0,74.0,62.0,71.0,97.0,76.0,97.0,5.0,5.0,3.0,1.0,3.0,3.0,0.31933300554954813,0.3569666265664394,0.3462067408870878
S403,86.0,78.0,80.0,99.0,83.0,83.0,78.0,2.0,5.0,4.0,5.0,1.0,3.0,0.9220819807687256,0.2113124590284371,0.3780298416839647
S404,90.0,99.0,79.0,74.0,99.0,94.0,94.0,1.0,3.0,3.0,3.0,4.0,5.0,0.4319632356237745,0.4089009953752709,0.004198247840519587
S405,92.0,99.0,77.0,76.0,67.0,79.0,70.0,3.0,2.0,3.0,5.0,5.0,4.0,0.27097357691559076,0.4985685525556186,0.7604933151436839
S406,89.0,86.0,98.0,73.0,74.0,71.0,79.0,3.0,2.0,4.0,4.0,3.0,3.0,0.5694739853805872,0.38486200458461794,0.6651408768987019
S407,76.0,99.0,85.0,73.0,84.0,85.0,84.0,4.0,4.0,4.0,1.0,4.0,5.0,0.6658932078749099,0.24792468274880586,0.10377414717265132
S408,84.0,86.0,71.0,79.0,75.0,84.0,86.0,2.0,2.0,3.0,4.0,2.0,2.0,0.8031835083464408,0.5297823793336924,0.1765247619471898
S409,77.0,69.0,89.0,60.0,63.0,82.0,66.0,5.0,5.0,1.0,1.0,2.0,3.0,0.26207106577880523,0.7664244925840371,0.6532723846070556
S410,89.0,85.0,60.0,88.0,84.0,99.0,85.0,2.0,3.0,2.0,5.0,4.0,2.0,0.9451665640361085,0.46494741484809066,0.05218662987238254
S411,76.0,90.0,67.0,64.0,60.0,74.0,95.0,1.0,3.0,3.0,2.0,3.0,1.0,0.7004228674226323,0.2549107549687579,0.32385455345757974
S412,66.0,86.0,94.0,86.0,79.0,77.0,99.0,5.0,4.0,4.0,3.0,2.0,3.0,0.19664825376676798,0.30893539955052185,0.8294804756134845
S413,61.0,89.0,97.0,89.0,66.0,98.0,72.0,1.0,2.0,5.0,1.0,5.0,2.0,0.5767133050108688,0.10915374327237248,0.5866036733915648
S414,92.0,99.0,89.0,89.0,82.0,83.0,79.0,5.0,1.0,1.0,3.0,2.0,4.0,0.6335633555537972,0.8848236912928693,0.8596454435976231
S415,87.0,78.0,72.0,75.0,74.0,70.0,71.0,4.0,5.0,4.0,4.0,1.0,1.0,0.0628751162397877,0.8666980949763966,0.0508847340093711
S416,81.0,84.0,62.0,83.0,84.0,68.0,87.0,1.0,4.0,5.0,2.0,3.0,5.0,0.15412198421264256,0.11155000207592514,0.1816972406222671
S417,89.0,66.0,70.0,69.0,62.0,78.0,61.0,1.0,5.0,2.0,1.0,2.0,3.0,0.80326199423569,0.6861193446534396,0.6869624373283231
S418,76.0,88.0,61.0,75.0,69.0,63.0,85.0,5.0,3.0,4.0,5.0,4.0,2.0,0.9221276186789696,0.39185103243996877,0.0032874431122135173
S419,83.0,71.0,80.0,75.0,95.0,94.0,68.0,4.0,2.0,3.0,1.0,3.0,4.0,0.6397684520689753,0.8680743864256488,0.9762601805610449
S420,65.0,60.0,73.0,83.0,69.0,77.0,68.0,2.0,4.0,1.0,5.0,5.0,5.0,0.36389273031597036,0.8221521884430948,0.8492277143386605
S421,86.0,78.0,95.0,62.0,97.0,68.0,69.0,4.0,5.0,2.0,1.0,3.0,2.0,0.14443784108724256,0.6314985552556653,0.17314009914086925
S422,68.0,76.0,97.0,79.0,66.0,63.0,69.0,1.0,3.0,5.0,3.0,4.0,4.0,0.44663081815369376,0.8792669192056812,0.7894671121574774
S423,80.0,73.0,84.0,76.0,87.0,73.0,72.0,5.0,5.0,2.0,2.0,4.0,1.0,0.5703394570317467,0.8087091643431323,0.1528275088440162
S424,93.0,62.0,63.0,74.0,79.0,67.0,64.0,2.0,1.0,4.0,2.0,1.0,1.0,0.19491936758662898,0.2088647915569377,0.7760135553964244
S425,61.0,87.0,81.0,68.0,87.0,60.0,95.0,2.0,5.0,3.0,5.0,3.0,1.0,0.8909655045397616,0.5628363204403689,0.9579716247356753
S426,61.0,97.0,85.0,90.0,78.0,90.0,68.0,2.0,4.0,2.0,5.0,3.0,2.0,0.7280302512054606,0.5636838338402289,0.6115905268527292
S427,62.0,97.0,65.0,66.0,84.0,84.0,60.0,3.0,5.0,5.0,2.0,4.0,4.0,0.8495341532464175,0.09018070742089412,0.1680174869983848
S428,81.0,79.0,72.0,99.0,80.0,82.0,92.0,3.0,2.0,1.0,5.0,3.0,5.0,0.26629498377508165,0.8947758559903022,0.9449449711206552
S429,68.0,88.0,91.0,70.0,95.0,88.0,90.0,3.0,2.0,3.0,3.0,1.0,3.0,0.3561705484686619,0.9238572260112431,0.5468478009671489
S430,73.0,84.0,85.0,81.0,68.0,92.0,82.0,4.0,3.0,3.0,2.0,3.0,1.0,0.47327374417875934,0.8327646779295999,0.5460834368858497
S431,94.0,79.0,92.0,94.0,89.0,89.0,81.0,2.0,5.0,4.0,4.0,5.0,3.0,0.4544822988678807,0.01596350427033466,0.012897662403908217
S432,60.0,74.0,84.0,79.0,66.0,75.0,82.0,1.0,1.0,1.0,1.0,3.0,5.0,0.6275914001244614,0.07341693084691614,0.7369453087362632
S433,80.0,60.0,79.0,78.0,65.0,97.0,91.0,5.0,4.0,5.0,1.0,3.0,2.0,0.6223414632920018,0.45772953271215433,0.7098036431116866
S434,60.0,89.0,75.0,86.0,77.0,72.0,87.0,2.0,1.0,4.0,2.0,1.0,3.0,0.9930713444694486,0.2463567736325204,0.5570557001472606
S435,69.0,73.0,88.0,70.0,86.0,76.0,62.0,2.0,1.0,2.0,3.0,5.0,5.0,0.8428559062071891,0.016874904539759594,0.20350832870251223
S436,90.0,80.0,92.0,60.0,65.0,63.0,81.0,3.0,3.0,5.0,3.0,3.0,3.0,0.5209586561598897,0.5522460249325004,0.08633326405235775
S437,72.0,89.0,99.0,85.0,98.0,98.0,66.0,5.0,5.0,2.0,5.0,2.0,5.0,0.40742952566641266,0.5197847579861811,0.4229756988103447
S438,73.0,85.0,77.0,83.0,84.0,91.0,65.0,4.0,2.0,3.0,4.0,5.0,5.0,0.7005962558037933,0.7713638886443674,0.460261619256777
S439,75.0,62.0,80.0,91.0,61.0,79.0,70.0,4.0,1.0,3.0,2.0,4.0,2.0,0.42565972783811323,0.7053636707861228,0.5553023588871225
S440,77.0,70.0,94.0,95.0,97.0,71.0,90.0,5.0,1.0,1.0,2.0,5.0,1.0,0.8704394466139689,0.481146151414673,0.5743274756721628
S441,95.0,89.0,63.0,61.0,72.0,85.0,88.0,3.0,5.0,4.0,4.0,4.0,3.0,0.1288052031407083,0.8359972418449356,0.42229213168380264
S442,95.0,87.0,67.0,64.0,91.0,89.0,73.0,5.0,2.0,2.0,5.0,3.0,5.0,0.7190632927893217,0.42948274908113093,0.0010122297369256072
S443,69.0,69.0,65.0,75.0,85.0,80.0,95.0,2.0,5.0,4.0,5.0,1.0,5.0,0.4004102502664021,0.147502195078566,0.39861507930166695
S444,89.0,64.0,69.0,90.0,70.0,97.0,66.0,2.0,2.0,2.0,4.0,2.0,1.0,0.3213439402276599,0.20254737867560135,0.12377209716627413
S445,71.0,67.0,87.0,75.0,62.0,96.0,91.0,5.0,3.0,2.0,5.0,4.0,5.0,0.728561222249406,0.7548603022996687,0.2649975052171575
S446,80.0,77.0,70.0,67.0,71.0,61.0,81.0,2.0,2.0,2.0,1.0,5.0,3.0,0.49519022471681884,0.46407094746023114,0.3552475710570018
S447,68.0,73.0,74.0,70.0,72.0,87.0,84.0,1.0,3.0,2.0,3.0,3.0,1.0,0.2776371817967549,0.18603174268169376,0.8728926200686428
S448,96.0,65.0,96.0,92.0,84.0,82.0,67.0,1.0,5.0,3.0,1.0,5.0,3.0,0.8333124876573444,0.41717941023671656,0.7212012565275506
S449,76.0,90.0,85.0,70.0,89.0,70.0,62.0,3.0,2.0,1.0,4.0,1.0,2.0,0.49833208239921867,0.08538326529272833,0.8223905084430511
S450,99.0,99.0,80.0,94.0,87.0,81.0,77.0,5.0,1.0,3.0,4.0,5.0,1.0,0.21927154401409854,0.7068175107281433,0.5273979649151659
S451,82.0,85.0,94.0,88.0,70.0,60.0,75.0,5.0,3.0,4.0,3.0,4.0,5.0,0.6905399698145,0.4712030557239626,0.7025611484769867
S452,84.0,97.0,77.0,75.0,78.0,75.0,64.0,1.0,4.0,3.0,4.0,5.0,5.0,0.032812552945086226,0.040852939100912034,0.8963399652155097
S453,86.0,65.0,93.0,75.0,82.0,91.0,82.0,5.0,1.0,5.0,1.0,2.0,4.0,0.7496940159715572,0.828467519882902,0.4565853869213141
S454,79.0,78.0,88.0,67.0,88.0,77.0,64.0,3.0,1.0,1.0,3.0,4.0,5.0,0.4596468618828774,0.534004035551073,0.24366204675985048
S455,71.0,69.0,96.0,76.0,91.0,63.0,90.0,4.0,1.0,5.0,2.0,3.0,4.0,0.7335024984885612,0.8294544034005605,0.907224092655396
S456,85.0,71.0,77.0,67.0,91.0,79.0,99.0,5.0,3.0,4.0,1.0,1.0,1.0,0.5170338483754986,0.41457650572734184,0.8309332443449622
S457,72.0,82.0,62.0,94.0,98.0,80.0,66.0,2.0,1.0,1.0,1.0,5.0,3.0,0.7526657800643747,0.8672732197091927,0.6557310574524087
S458,85.0,82.0,91.0,61.0,98.0,61.0,98.0,2.0,4.0,2.0,3.0,1.0,1.0,0.8833133034728666,0.08904166604532127,0.6795615776854959
S459,74.0,75.0,85.0,67.0,75.0,80.0,98.0,4.0,2.0,2.0,4.0,2.0,2.0,0.08879508848722184,0.7489076432935146,0.6284438701329399
S460,70.0,83.0,95.0,77.0,82.0,72.0,98.0,2.0,4.0,4.0,3.0,2.0,3.0,0.015992021581576532,0.5992609860734446,0.14627980855867384
S461,60.0,66.0,80.0,75.0,73.0,61.0,90.0,5.0,5.0,2.0,1.0,5.0,1.0,0.1424114197790698,0.1504630116566178,0.4838236022468424
S462,98.0,68.0,73.0,69.0,83.0,92.0,93.0,3.0,2.0,3.0,3.0,4.0,2.0,0.11552025403187505,0.12565574845272776,0.2561679861338765
S463,79.0,87.0,63.0,93.0,63.0,65.0,81.0,4.0,3.0,1.0,2.0,2.0,5.0,0.0008582238277602405,0.27578976695736623,0.6184077668020328
S464,63.0,64.0,70.0,94.0,78.0,70.0,70.0,1.0,1.0,3.0,3.0,3.0,5.0,0.6015705605953655,0.9695336481646462,0.1196300789797774
S465,86.0,61.0,67.0,93.0,99.0,79.0,82.0,1.0,4.0,1.0,4.0,2.0,4.0,0.8655713314655792,0.39118975989658844,0.3870362879616457
S466,74.0,72.0,90.0,73.0,60.0,86.0,92.0,2.0,3.0,1.0,3.0,1.0,4.0,0.34881088362434365,0.12473653144295849,0.47850503709894743
S467,94.0,74.0,64.0,96.0,63.0,79.0,98.0,1.0,4.0,1.0,2.0,4.0,3.0,0.7873779693470139,0.875432407147698,0.9628592581273628
S468,81.0,83.0,70.0,65.0,86.0,69.0,98.0,3.0,3.0,3.0,2.0,2.0,5.0,0.7852924857004524,0.6230917056547689,0.4975337797059971
S469,69.0,85.0,96.0,92.0,67.0,87.0,95.0,5.0,5.0,5.0,1.0,4.0,3.0,0.8748972516013959,0.7395136068581604,0.16125817597151415
S470,99.0,84.0,95.0,72.0,66.0,60.0,68.0,1.0,2.0,3.0,4.0,4.0,2.0,0.6825504927962065,0.43103859793001187,0.5957996774218147
S471,87.0,95.0,89.0,68.0,89.0,94.0,86.0,3.0,5.0,3.0,3.0,4.0,2.0,0.8983530838174291,0.6525705487339041,0.9387242851762801
S472,88.0,64.0,60.0,64.0,88.0,76.0,96.0,3.0,1.0,1.0,2.0,5.0,3.0,0.8663696752640758,0.12890125116344775,0.011651913778953915
S473,83.0,86.0,68.0,97.0,72.0,85.0,70.0,3.0,4.0,3.0,5.0,3.0,3.0,0.38441140864888135,0.8653299883587092,0.23012599271016876
S474,83.0,92.0,65.0,94.0,75.0,72.0,70.0,4.0,1.0,1.0,5.0,2.0,2.0,0.691399921899496,0.47599536922301067,0.7460777604290668
S475,82.0,61.0,89.0,78.0,99.0,74.0,92.0,4.0,3.0,4.0,1.0,5.0,2.0,0.1649768789779572,0.23909103898338824,0.24252446949666673
S476,64.0,81.0,86.0,94.0,78.0,98.0,66.0,3.0,2.0,1.0,3.0,1.0,2.0,0.5484658135082107,0.2896244578050269,0.8117223728346883
S477,98.0,93.0,93.0,86.0,64.0,63.0,66.0,2.0,1.0,3.0,1.0,3.0,4.0,0.3467942191041695,0.6608511487903874,0.9485018860968052
S478,62.0,80.0,93.0,68.0,79.0,99.0,71.0,4.0,3.0,1.0,3.0,2.0,1.0,0.6069237176808208,0.2421535222138428,0.8304566731354773
S479,98.0,87.0,92.0,69.0,70.0,66.0,77.0,3.0,2.0,5.0,2.0,3.0,1.0,0.012542520696833925,0.2565371614310422,0.387490488547784
S480,78.0,73.0,76.0,82.0,78.0,62.0,93.0,1.0,4.0,3.0,2.0,2.0,3.0,0.19597886136786968,0.604018092539011,0.5580006169402517
S481,84.0,90.0,98.0,73.0,96.0,79.0,91.0,2.0,5.0,4.0,1.0,2.0,5.0,0.4064965684387696,0.2943794466543951,0.433907243362022
S482,92.0,90.0,66.0,64.0,63.0,70.0,78.0,3.0,2.0,3.0,5.0,5.0,1.0,0.29120225671273536,0.22125850827835225,0.35127013230934645
S483,97.0,79.0,86.0,88.0,77.0,96.0,84.0,3.0,4.0,1.0,3.0,3.0,5.0,0.6023355819507898,0.648390856719063,0.2973471610636259
S484,79.0,65.0,95.0,74.0,77.0,97.0,84.0,5.0,3.0,5.0,3.0,3.0,1.0,0.9473980363295809,0.2619592299176039,0.7121321101782967
S485,79.0,81.0,71.0,99.0,92.0,88.0,61.0,1.0,4.0,1.0,2.0,2.0,5.0,0.08148005689799998,0.6648445460983803,0.45994874865888524
S486,85.0,91.0,62.0,89.0,78.0,69.0,84.0,2.0,1.0,4.0,3.0,4.0,1.0,0.5691078446433954,0.18407265951386542,0.4335639685796311
S487,78.0,80.0,65.0,73.0,67.0,61.0,77.0,1.0,1.0,5.0,2.0,1.0,3.0,0.7662778565571535,0.7670848328015827,0.23755596123159606
S488,81.0,89.0,95.0,87.0,94.0,61.0,95.0,2.0,2.0,5.0,4.0,2.0,2.0,0.352599275113029,0.0038135553921014864,0.089962174338176
S489,77.0,68.0,87.0,67.0,67.0,64.0,72.0,1.0,3.0,1.0,3.0,2.0,3.0,0.12673035264875487,0.29365132589590004,0.7590154867424669
S490,66.0,80.0,88.0,96.0,73.0,96.0,63.0,1.0,1.0,4.0,5.0,4.0,2.0,0.5102501321559869,0.7926081365522494,0.7549057075970432
S491,81.0,70.0,93.0,75.0,68.0,75.0,98.0,3.0,1.0,1.0,1.0,1.0,2.0,0.5871382095076755,0.49986020119607844,0.93132086154928
S492,75.0,90.0,90.0,72.0,64.0,98.0,77.0,5.0,4.0,4.0,1.0,1.0,3.0,0.5692702226144151,0.4828239846157095,0.8691208095398361
S493,79.0,61.0,99.0,89.0,69.0,70.0,88.0,1.0,4.0,3.0,3.0,1.0,3.0,0.07143871475230579,0.6560263195179041,0.11302725015973936
S494,99.0,75.0,87.0,76.0,97.0,74.0,90.0,5.0,1.0,5.0,1.0,5.0,1.0,0.8198216278861046,0.7926661850496388,0.5036000342532465
S495,66.0,89.0,95.0,85.0,70.0,65.0,88.0,4.0,1.0,4.0,2.0,2.0,1.0,0.6610441500859928,0.7726216913041647,0.48330387001636677
S496,87.0,74.0,88.0,65.0,71.0,75.0,97.0,4.0,4.0,3.0,3.0,5.0,3.0,0.9059579137893272,0.4370300092586292,0.8920225151726947
S497,68.0,81.0,92.0,85.0,99.0,66.0,91.0,1.0,3.0,3.0,1.0,1.0,5.0,0.5827440488484104,0.4262432639395406,0.004097534312602513
S498,99.0,83.0,98.0,97.0,96.0,78.0,64.0,4.0,3.0,2.0,4.0,1.0,3.0,0.29555592055647495,0.8679214923416584,0.42871278906369525
S499,89.0,84.0,89.0,84.0,68.0,86.0,83.0,5.0,2.0,4.0,3.0,1.0,4.0,0.42146852717403716,0.4894106810671043,0.2863040315225779
S500,99.0,97.0,74.0,97.0,85.0,89.0,70.0,2.0,1.0,2.0,3.0,4.0,5.0,0.4915512697574701,0.37576311644007676,0.9094425304325132
S501,88.0,74.0,68.0,88.0,74.0,76.0,75.0,3.0,3.0,5.0,5.0,1.0,2.0,0.5639667711965541,0.8341509691424247,0.6868740955763406
S502,81.0,99.0,70.0,97.0,84.0,89.0,61.0,3.0,1.0,1.0,3.0,2.0,5.0,0.2126029840560979,0.8676656097008894,0.08727079738852384
S503,60.0,97.0,96.0,68.0,64.0,83.0,86.0,3.0,2.0,5.0,4.0,3.0,3.0,0.44863786057288924,0.23915542553204472,0.5375554226322046
S504,89.0,74.0,68.0,96.0,89.0,74.0,79.0,2.0,1.0,1.0,2.0,3.0,3.0,0.3000495794447966,0.7228262592246237,0.9369187011538042
S505,84.0,68.0,81.0,72.0,96.0,87.0,73.0,3.0,4.0,1.0,4.0,3.0,1.0,0.7090899782152368,0.3553103667758055,0.6000699616579538
S506,89.0,98.0,64.0,71.0,94.0,60.0,60.0,3.0,3.0,2.0,1.0,3.0,5.0,0.888526091798121,0.2700283897869056,0.11820476373827071
S507,79.0,93.0,93.0,83.0,87.0,70.0,67.0,5.0,3.0,2.0,3.0,5.0,1.0,0.13076398861099192,0.4948530103433477,0.7321362611298429
S508,94.0,75.0,75.0,65.0,79.0,70.0,67.0,2.0,3.0,5.0,1.0,5.0,2.0,0.6572577420864065,0.4538895004846818,0.7292980401813631
S509,79.0,91.0,92.0,65.0,87.0,67.0,73.0,4.0,3.0,1.0,2.0,2.0,4.0,0.633969956141017,0.6282307556008476,0.20237639729420487
S510,62.0,61.0,81.0,92.0,80.0,65.0,99.0,4.0,3.0,3.0,2.0,3.0,3.0,0.3125834330262819,0.3444243252892102,0.8081907582838953
S511,66.0,65.0,67.0,83.0,86.0,87.0,64.0,4.0,2.0,5.0,5.0,1.0,4.0,0.7751104909653611,0.25267275741490436,0.05515227430997982
S512,78.0,68.0,84.0,72.0,96.0,61.0,99.0,1.0,2.0,5.0,5.0,5.0,1.0,0.7677838092064555,0.4098661787943184,0.21980316899028418
S513,73.0,90.0,65.0,84.0,98.0,90.0,97.0,3.0,1.0,5.0,4.0,4.0,1.0,0.11701687057109544,0.012814650588500953,0.42772963481388615
S514,75.0,86.0,89.0,63.0,98.0,75.0,95.0,1.0,2.0,1.0,1.0,5.0,3.0,0.33976381438682546,0.6964701507072828,0.9766654321874082
S515,66.0,80.0,61.0,67.0,86.0,61.0,65.0,5.0,3.0,5.0,5.0,2.0,3.0,0.20678261961615396,0.2430361403739374,0.33730257686439646
S516,63.0,80.0,60.0,97.0,71.0,86.0,73.0,5.0,5.0,3.0,2.0,3.0,2.0,0.4659376348833053,0.6976986953405354,0.35203152183860664
S517,74.0,83.0,77.0,76.0,68.0,77.0,77.0,2.0,4.0,2.0,4.0,1.0,2.0,0.10420054297077908,0.7303416372477406,0.7946416780178531
S518,64.0,68.0,94.0,60.0,68.0,91.0,79.0,3.0,4.0,1.0,1.0,2.0,3.0,0.24764865558791416,0.13675624374230655,0.5278010514657503
S519,72.0,99.0,70.0,85.0,99.0,70.0,84.0,2.0,5.0,1.0,5.0,5.0,4.0,0.2083143008713465,0.37416343334862856,0.7773612201288504
S520,99.0,84.0,79.0,70.0,69.0,62.0,98.0,5.0,1.0,1.0,3.0,2.0,3.0,0.2196070431845888,0.806259261118711,0.6740199878163105
S521,86.0,94.0,99.0,90.0,80.0,81.0,78.0,3.0,2.0,1.0,4.0,5.0,4.0,0.21972586373790082,0.5264046010460833,0.6140707625062671
S522,73.0,96.0,82.0,85.0,99.0,71.0,60.0,5.0,2.0,2.0,3.0,2.0,5.0,0.20027603781364345,0.1449493358125169,0.5311679344262646
S523,93.0,78.0,82.0,66.0,66.0,60.0,77.0,4.0,4.0,4.0,4.0,3.0,4.0,0.6938411661356609,0.46506884007154825,0.07003924853192034
S524,67.0,84.0,88.0,82.0,88.0,60.0,74.0,5.0,3.0,3.0,3.0,2.0,3.0,0.925212706696798,0.6949654458545106,0.6211962857868949
S525,74.0,87.0,95.0,99.0,91.0,72.0,80.0,5.0,4.0,2.0,4.0,1.0,2.0,0.6436270119306773,0.3986056009080694,0.9844004993061019
S526,98.0,97.0,68.0,79.0,79.0,67.0,73.0,5.0,2.0,3.0,2.0,3.0,4.0,0.13267921171851194,0.7391413774832266,0.42087596026709884
S527,79.0,94.0,80.0,81.0,65.0,86.0,63.0,2.0,2.0,5.0,1.0,2.0,4.0,0.8810960476081263,0.7172612742170478,0.5622522233596923
S528,63.0,87.0,86.0,76.0,98.0,97.0,88.0,3.0,4.0,5.0,2.0,1.0,1.0,0.9376936343881803,0.9124433609397369,0.05233399595224564
S529,99.0,66.0,67.0,92.0,91.0,94.0,77.0,2.0,1.0,4.0,3.0,2.0,3.0,0.19258804673939278,0.6760465849045786,0.9218394265060845
S530,75.0,77.0,97.0,84.0,93.0,63.0,64.0,1.0,5.0,3.0,5.0,4.0,5.0,0.43033000253514264,0.038305245360408025,0.6432972599800373
S531,73.0,60.0,81.0,80.0,72.0,95.0,88.0,3.0,3.0,2.0,5.0,4.0,2.0,0.19468699724114358,0.5523217333166839,0.3846832586245532
S532,97.0,68.0,92.0,81.0,76.0,82.0,95.0,2.0,4.0,2.0,4.0,1.0,2.0,0.5580270391020311,0.9324363194633998,0.48580059044297197
S533,65.0,98.0,88.0,86.0,64.0,68.0,83.0,3.0,1.0,2.0,4.0,1.0,1.0,0.034528823772123185,0.5809179862794438,0.32574553017531793
S534,78.0,92.0,89.0,99.0,63.0,91.0,60.0,3.0,2.0,2.0,4.0,1.0,3.0,0.7781348843958051,0.46992847029467544,0.7413707378316422
S535,93.0,80.0,90.0,73.0,85.0,81.0,93.0,4.0,4.0,3.0,2.0,3.0,2.0,0.9088209953483137,0.36227399127245097,0.9893779123908035
S536,92.0,72.0,91.0,67.0,81.0,79.0,80.0,5.0,1.0,3.0,4.0,2.0,1.0,0.14981286593978516,0.6439316818931886,0.03476760313124483
S537,93.0,89.0,65.0,94.0,86.0,79.0,97.0,1.0,3.0,4.0,3.0,4.0,5.0,0.21305666585113592,0.6337785914565751,0.04619173956109668
S538,99.0,73.0,69.0,74.0,99.0,62.0,74.0,3.0,2.0,3.0,3.0,5.0,5.0,0.10178708528835867,0.29101059491521397,0.5756371359822509
S539,90.0,70.0,98.0,78.0,74.0,97.0,79.0,3.0,4.0,5.0,5.0,4.0,1.0,0.015982555391149122,0.48235425757781214,0.6257437487451047
